size_D,duration_D,app,har,dba,ifc,source,nlan,telonuse,t01,t02,t03,t04,t05,t06,t07,t08,t09,t10,t11,t12,t13,t14,t15,effort_D
562,14,1,4,2.0,0,1,1,0,5,3,3,2,3,4,4,4,3,3,2,4,3,5,3,1062
647,16,4,0,2.0,1,0,3,0,4,3,5,3,3,3,4,5,4,5,4,4,4,4,5,7871
130,5,4,0,2.0,1,0,3,0,2,3,3,3,3,3,2,2,4,3,4,4,4,4,4,845
254,8,1,0,2.0,1,0,2,0,3,3,2,3,3,4,2,3,4,5,4,3,2,3,3,2330
1056,16,0,0,2.0,1,0,3,0,2,2,4,2,2,1,3,5,4,4,5,4,3,2,3,21272
383,12,4,0,2.0,1,0,2,0,3,3,3,4,3,3,4,3,4,4,3,4,5,4,4,4224
345,12,4,2,2.0,1,0,4,1,2,3,3,3,3,3,2,2,4,4,4,4,4,5,4,2826
209,27,4,0,2.0,1,0,2,0,4,3,5,4,3,2,3,5,5,5,3,4,4,2,3,7320
366,24,4,0,2.0,1,0,1,0,2,3,3,2,2,2,4,5,4,3,3,3,3,2,3,9125
1181,54,4,1,3.0,1,1,2,0,4,3,3,2,1,2,4,5,3,2,2,2,3,4,2,11900
181,13,1,0,2.0,1,0,2,0,2,3,2,3,3,3,2,5,3,4,2,3,2,3,3,4300
739,21,4,3,2.0,1,1,1,0,5,3,4,2,3,1,3,3,3,2,2,2,1,1,2,4150
108,7,0,4,,1,0,2,0,2,2,2,4,3,3,1,4,4,3,4,4,1,5,1,900
48,10,0,3,,1,0,3,0,2,3,3,4,2,2,2,4,4,3,5,3,3,4,2,583
249,19,1,0,2.0,1,0,2,0,2,3,2,4,3,3,3,5,4,3,3,4,2,4,3,2565
371,11,4,0,2.0,1,0,2,0,3,4,3,3,3,3,3,3,5,5,2,4,3,3,3,4047
211,13,4,0,2.0,1,0,1,0,2,3,2,4,3,3,4,4,4,3,2,4,3,3,3,1520
1849,32,4,0,2.0,1,0,4,1,4,1,3,3,3,4,4,5,4,4,4,4,3,3,4,25910
2482,38,4,0,2.0,1,0,4,1,4,3,4,3,4,4,5,4,5,4,5,5,3,1,4,37286
434,40,0,2,2.0,1,0,4,0,3,2,3,3,3,2,4,5,4,4,4,4,4,2,3,15052
292,29,4,0,2.0,1,0,3,0,4,3,4,4,4,2,3,4,5,5,3,4,4,2,3,11039
2954,14,0,2,2.0,1,0,4,0,4,4,2,3,3,3,4,3,4,4,5,3,2,3,3,18500
304,14,4,2,2.0,1,0,1,0,4,3,2,4,3,3,4,4,5,4,3,4,2,4,3,9369
353,28,4,3,2.0,1,1,1,0,4,3,2,3,2,3,2,4,4,4,2,2,3,3,3,7184
567,16,4,0,2.0,1,0,4,1,2,2,2,4,3,3,4,4,5,5,5,4,2,2,4,10447
467,13,4,0,2.0,1,0,3,1,4,3,4,3,3,3,3,3,4,4,3,3,2,3,3,5100
3368,45,4,0,2.0,1,0,3,0,4,3,3,4,3,3,4,5,4,4,4,4,4,2,4,63694
253,4,0,0,2.0,1,0,2,1,3,3,3,4,3,4,2,4,4,3,2,4,4,2,4,1651
196,10,3,2,2.0,1,0,3,1,1,4,2,3,3,4,2,3,2,3,2,4,2,4,3,1450
185,12,1,0,2.0,1,0,4,0,3,4,2,3,3,4,3,5,3,3,3,4,4,5,3,1745
387,6,0,0,2.0,1,0,2,0,2,4,3,2,2,2,3,4,5,4,4,4,3,3,4,1798
430,28,2,0,2.0,1,0,2,0,1,3,3,3,3,2,4,5,3,2,3,3,3,4,3,2957
204,6,4,0,2.0,1,0,2,0,3,4,2,3,3,3,3,4,3,4,2,4,3,3,3,963
71,6,4,0,2.0,1,0,1,0,3,3,3,4,3,3,2,3,4,2,3,4,2,4,3,1233
840,6,1,2,2.0,0,1,3,0,4,2,4,3,5,3,4,5,5,4,3,5,4,4,5,3240
1648,11,4,2,2.0,0,1,4,0,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,10000
1035,8,4,2,2.0,0,1,4,0,4,2,4,3,5,3,5,3,5,5,4,5,3,4,5,6800
548,22,0,0,2.0,1,0,1,0,3,3,4,2,3,2,3,4,3,3,3,4,4,3,3,3850
2054,31,0,2,2.0,1,0,3,1,4,3,4,4,4,3,3,4,4,4,5,5,4,3,4,14000
302,26,2,0,2.0,1,0,2,0,2,3,2,4,3,3,3,4,3,3,3,3,2,4,3,5787
1172,22,0,2,2.0,1,0,3,1,4,2,2,3,4,4,4,2,4,2,4,3,4,3,4,9700
253,7,1,3,2.0,0,0,1,0,3,3,3,2,2,3,3,3,4,3,3,4,4,4,3,1100
227,14,4,0,2.0,1,0,2,0,3,4,2,4,3,3,3,3,5,5,3,3,2,3,3,5578
59,6,4,0,2.0,1,0,3,0,4,3,3,3,3,3,2,3,4,3,3,4,3,3,3,1060
299,6,1,0,2.0,1,0,4,1,3,3,4,4,4,4,3,4,4,3,5,4,3,2,3,5279
422,15,0,0,2.0,1,0,1,0,3,3,3,4,3,3,3,3,5,3,4,4,3,2,4,8117
1058,9,4,3,2.0,1,1,3,0,4,4,3,5,4,4,5,3,4,4,3,5,2,4,4,8710
65,9,1,3,1.0,1,0,3,0,4,2,2,3,3,2,4,4,4,4,3,4,4,5,3,796
390,26,0,2,2.0,1,0,3,0,5,5,3,3,2,3,4,5,5,4,4,4,3,4,4,11023
193,13,4,0,2.0,1,0,2,0,4,4,2,3,4,3,2,2,3,3,3,3,2,4,4,1755
1526,28,1,0,2.0,1,0,4,1,4,3,2,3,3,3,3,3,4,3,4,4,4,3,3,5931
575,13,0,2,2.0,1,0,2,1,2,3,3,3,3,3,4,2,4,3,4,4,2,3,3,4456
509,13,4,0,2.0,1,0,1,0,2,3,3,4,3,3,3,4,4,3,2,4,4,2,3,3600
583,12,2,0,2.0,1,0,3,0,1,4,4,2,3,3,2,3,2,2,2,4,5,3,3,4557
315,14,0,0,2.0,1,0,2,0,4,3,5,3,3,3,4,5,4,3,3,4,3,3,3,8752
138,12,0,0,2.0,1,0,2,0,3,4,5,3,3,3,3,3,4,4,2,4,4,3,3,3440
257,9,4,2,2.0,1,0,3,0,3,4,3,3,3,3,3,4,4,4,4,4,4,4,3,1981
423,30,4,0,2.0,1,0,1,0,2,3,3,2,2,2,4,5,4,3,3,4,4,2,3,13700
495,20,2,3,2.0,1,1,3,0,4,2,4,3,3,3,3,3,5,3,3,4,3,4,4,7105
622,16,0,2,2.0,1,0,4,1,2,3,3,4,3,3,3,4,4,3,4,3,2,4,3,6816
204,12,1,0,2.0,1,0,2,1,3,3,3,3,3,4,4,5,5,5,5,4,3,2,3,4620
616,15,0,2,2.0,1,0,4,1,2,3,2,3,3,2,3,5,5,4,5,5,1,5,4,7451
3634,33,0,2,2.0,1,0,3,0,2,4,3,3,3,3,4,3,5,5,5,4,4,5,4,39479
